titulo,autor,preco,quantidade_estoque
10-Day Green Smoothie Cleanse,JJ Smith,8.0,8
11/22/63: A Novel,Stephen King,22.0,25
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,15.0,16
1984 (Signet Classics),George Orwell,6.0,15
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,12.0,14
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,11.0,3
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,30.0,40
A Gentleman in Moscow: A Novel,Amor Towles,15.0,21
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,3.0,31
A Man Called Ove: A Novel,Fredrik Backman,8.0,49
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,2.0,15
A Stolen Life: A Memoir,Jaycee Dugard,32.0,40
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,5.0,19
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,17.0,48
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.0,17
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,6.0,41
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,6.0,11
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,8.0,29
Alexander Hamilton,Ron Chernow,13.0,4
All the Light We Cannot See,Anthony Doerr,14.0,50
Allegiant,Veronica Roth,13.0,37
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,9.0,50
And the Mountains Echoed,Khaled Hosseini,13.0,45
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,5.0,26
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9.0,18
"Autobiography of Mark Twain, Vol. 1",Mark Twain,14.0,38
Baby Touch and Feel: Animals,DK,5.0,19
Balance (Angie's Extreme Stress Menders),Angie Grace,11.0,32
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,24.0,31
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,21.0,37
Becoming,Michelle Obama,11.0,19
Being Mortal: Medicine and What Matters in the End,Atul Gawande,15.0,17
Between the World and Me,Ta-Nehisi Coates,13.0,24
Born to Run,Bruce Springsteen,18.0,50
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,13.0,0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,8.0,12
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,5.0,46
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,25.79,42
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.0,9
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,18.0,24
Capital in the Twenty First Century,Thomas Piketty,28.0,34
Catching Fire (The Hunger Games),Suzanne Collins,11.0,35
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,16.0,39
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,14.0,39
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,8.0,5
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.0,46
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,5.0,27
Cutting for Stone,Abraham Verghese,11.0,9
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,10.0,32
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,13.0,37
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.0,22
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,8.0,30
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.0,20
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,5.0,41
Decision Points,George W. Bush,17.0,12
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,15.0,39
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,105.0,22
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,22.39,22
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,15.0,25
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,22.0,19
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,5.0,44
Divergent,Veronica Roth,15.0,20
Divergent / Insurgent,Veronica Roth,6.0,18
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,6.0,21
Doctor Sleep: A Novel,Stephen King,13.0,44
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,12.0,24
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,6.0,35
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,8.0,27
